SpectraSuite Datei
++++++++++++++++++++++++++++++++++++
Datum: Wed Jun 24 10:59:14 CEST 2020
Benutzer: LocalAdmin
Dark-Spektrum vorhanden: Ja
Referenz-Spektrum vorhanden: Nein
Zahl der probierten Teilspektren: 1
Spektrometer: USB2G51829
Integrationszeit (usec): 400000 (USB2G51829)
Spektren Durchschnitt berechnet: 1 (USB2G51829)
Boxcar Glättung: 0 (USB2G51829)
Dunkelstromkorrektur: Nein (USB2G51829)
Puls/Lampe aktiviert: Nein (USB2G51829)
Correct for Detector Non-linearity: Nein (USB2G51829)
Streulichtkorrektur: Nein (USB2G51829)
Anzahl Pixel in verarbeitetem Spektrum: 651
>>>>>Begin Processed Spectral Data<<<<<
649,00	4,46
650,00	20,87
651,00	0,14
652,00	-4,21
653,00	13,99
654,00	12,53
655,00	8,00
656,00	3,82
657,00	-0,41
658,00	3,67
659,00	14,17
660,00	2,63
661,00	1,34
662,00	9,28
663,00	9,19
664,00	-0,54
665,00	3,42
666,00	14,68
667,00	7,76
668,00	10,28
669,00	3,65
670,00	-1,93
671,00	9,45
672,00	8,87
673,00	1,98
674,00	13,17
675,00	6,93
676,00	8,13
677,00	4,04
678,00	8,06
679,00	12,23
680,00	8,91
681,00	14,70
682,00	5,70
683,00	5,48
684,00	3,12
685,00	3,58
686,00	9,77
687,00	2,25
688,00	11,11
689,00	2,72
690,00	4,78
691,00	1,62
692,00	9,13
693,00	9,12
694,00	10,05
695,00	10,34
696,00	10,11
697,00	6,42
698,00	11,55
699,00	6,31
700,00	1,56
701,00	0,47
702,00	-2,66
703,00	-1,72
704,00	-0,89
705,00	-2,14
706,00	6,63
707,00	6,66
708,00	0,42
709,00	21,66
710,00	4,54
711,00	4,84
712,00	-0,73
713,00	3,07
714,00	8,03
715,00	3,59
716,00	6,67
717,00	-1,59
718,00	-3,34
719,00	4,12
720,00	0,79
721,00	2,02
722,00	7,41
723,00	2,56
724,00	10,52
725,00	-10,29
726,00	-4,51
727,00	1,18
728,00	10,51
729,00	3,37
730,00	10,69
731,00	3,50
732,00	-1,02
733,00	0,86
734,00	2,86
735,00	9,71
736,00	2,83
737,00	7,47
738,00	1,23
739,00	13,04
740,00	-5,25
741,00	15,41
742,00	6,61
743,00	14,20
744,00	3,75
745,00	2,01
746,00	15,89
747,00	14,75
748,00	15,11
749,00	16,32
750,00	30,99
751,00	31,00
752,00	45,49
753,00	56,43
754,00	59,91
755,00	94,47
756,00	94,61
757,00	123,37
758,00	175,50
759,00	212,46
760,00	238,57
761,00	313,08
762,00	439,98
763,00	521,35
764,00	535,25
765,00	646,59
766,00	726,84
767,00	943,26
768,00	1095,79
769,00	1100,14
770,00	1133,57
771,00	1162,51
772,00	1144,31
773,00	993,89
774,00	1181,81
775,00	1747,99
776,00	2026,61
777,00	2593,61
778,00	2174,66
779,00	2218,37
780,00	1886,73
781,00	2094,48
782,00	1498,60
783,00	1127,91
784,00	1253,94
785,00	1629,78
786,00	1686,13
787,00	1628,61
788,00	1757,94
789,00	1772,28
790,00	1448,57
791,00	1088,71
792,00	860,32
793,00	716,61
794,00	572,97
795,00	488,98
796,00	359,74
797,00	293,77
798,00	260,75
799,00	167,33
800,00	137,80
801,00	117,16
802,00	82,10
803,00	58,06
804,00	44,39
805,00	33,73
806,00	23,53
807,00	28,30
808,00	18,78
809,00	10,70
810,00	11,38
811,00	6,06
812,00	6,09
813,00	4,26
814,00	13,69
815,00	15,45
816,00	10,87
817,00	10,48
818,00	6,88
819,00	9,59
820,00	1,48
821,00	10,98
822,00	1,13
823,00	3,01
824,00	0,62
825,00	1,82
826,00	13,43
827,00	13,30
828,00	4,34
829,00	11,36
830,00	6,29
831,00	2,73
832,00	6,71
833,00	16,90
834,00	2,63
835,00	41,78
836,00	2,09
837,00	16,96
838,00	3,82
839,00	5,66
840,00	2,00
841,00	0,03
842,00	-5,14
843,00	3,29
844,00	2,53
845,00	3,57
846,00	1,28
847,00	9,82
848,00	-0,95
849,00	13,67
850,00	8,67
851,00	10,92
852,00	2,80
853,00	6,85
854,00	-1,02
855,00	1,22
856,00	2,78
857,00	10,04
858,00	5,84
859,00	3,50
860,00	2,47
861,00	6,73
862,00	6,62
863,00	11,90
864,00	2,37
865,00	0,12
866,00	20,14
867,00	2,19
868,00	1,14
869,00	9,15
870,00	-18,02
871,00	12,74
872,00	5,55
873,00	-2,79
874,00	5,33
875,00	6,16
876,00	6,52
877,00	8,25
878,00	1,01
879,00	10,24
880,00	5,46
881,00	9,83
882,00	10,95
883,00	2,71
884,00	0,18
885,00	4,39
886,00	0,95
887,00	9,09
888,00	4,66
889,00	8,28
890,00	1,16
891,00	-0,12
892,00	7,70
893,00	4,20
894,00	2,79
895,00	4,01
896,00	6,67
897,00	0,00
898,00	12,30
899,00	5,03
900,00	-2,26
901,00	5,49
902,00	6,27
903,00	4,59
904,00	9,95
905,00	6,33
906,00	-1,91
907,00	5,38
908,00	11,51
909,00	13,14
910,00	1,16
911,00	1,48
912,00	-0,08
913,00	0,95
914,00	-0,49
915,00	2,35
916,00	-0,26
917,00	15,09
918,00	-1,72
919,00	5,79
920,00	8,65
921,00	-5,81
922,00	1,59
923,00	12,19
924,00	5,65
925,00	6,97
926,00	3,63
927,00	9,00
928,00	2,06
929,00	-8,10
930,00	-1,21
931,00	20,20
932,00	4,43
933,00	-4,06
934,00	-1,06
935,00	-3,75
936,00	9,86
937,00	17,37
938,00	7,72
939,00	6,49
940,00	5,62
941,00	6,01
942,00	8,38
943,00	-1,04
944,00	3,67
945,00	-0,52
946,00	1,30
947,00	10,24
948,00	3,00
949,00	1,98
950,00	11,36
951,00	16,36
952,00	7,16
953,00	3,04
954,00	3,81
955,00	7,97
956,00	-1,15
957,00	4,56
958,00	3,69
959,00	-1,25
960,00	2,15
961,00	11,74
962,00	5,41
963,00	5,24
964,00	2,04
965,00	16,17
966,00	7,67
967,00	9,24
968,00	17,32
969,00	3,63
970,00	2,20
971,00	3,37
972,00	-3,23
973,00	1,85
974,00	18,56
975,00	4,63
976,00	11,54
977,00	4,97
978,00	6,38
979,00	2,00
980,00	6,77
981,00	4,69
982,00	19,49
983,00	4,39
984,00	-0,32
985,00	7,60
986,00	0,19
987,00	5,76
988,00	-0,02
989,00	9,69
990,00	-6,50
991,00	3,57
992,00	2,72
993,00	10,77
994,00	8,04
995,00	0,32
996,00	6,67
997,00	5,67
998,00	6,97
999,00	-0,92
1000,00	10,07
>>>>>End Processed Spectral Data<<<<<
