Delay (ps) - A ch X	Lockin Signal - A ch X	Delay (ps) - A ch Y	Lockin Signal - A ch Y	Delay (ps) - B ch X	Lockin Signal - B ch X	Delay (ps) - B ch Y	Lockin Signal - B ch Y	
51.3000	8.61E-3	51.3000	-2.20E-3	51.3000	8.61E-3	51.3000	-2.20E-3	
51.3050	8.61E-3	51.3050	-2.20E-3	51.3050	8.61E-3	51.3050	-2.20E-3	
51.3100	8.61E-3	51.3100	-2.19E-3	51.3100	8.61E-3	51.3100	-2.19E-3	
51.3150	8.61E-3	51.3150	-2.19E-3	51.3150	8.61E-3	51.3150	-2.19E-3	
51.3200	8.62E-3	51.3200	-2.20E-3	51.3200	8.62E-3	51.3200	-2.20E-3	
51.3250	8.61E-3	51.3250	-2.19E-3	51.3250	8.61E-3	51.3250	-2.19E-3	
51.3300	8.61E-3	51.3300	-2.20E-3	51.3300	8.61E-3	51.3300	-2.20E-3	
51.3350	8.62E-3	51.3350	-2.20E-3	51.3350	8.62E-3	51.3350	-2.20E-3	
51.3400	8.62E-3	51.3400	-2.20E-3	51.3400	8.62E-3	51.3400	-2.20E-3	
51.3450	8.62E-3	51.3450	-2.20E-3	51.3450	8.62E-3	51.3450	-2.20E-3	
51.3500	8.63E-3	51.3500	-2.19E-3	51.3500	8.63E-3	51.3500	-2.19E-3	
51.3550	8.63E-3	51.3550	-2.20E-3	51.3550	8.63E-3	51.3550	-2.20E-3	
51.3600	8.64E-3	51.3600	-2.20E-3	51.3600	8.64E-3	51.3600	-2.20E-3	
51.3650	8.63E-3	51.3650	-2.20E-3	51.3650	8.63E-3	51.3650	-2.20E-3	
51.3700	8.63E-3	51.3700	-2.20E-3	51.3700	8.63E-3	51.3700	-2.20E-3	
51.3750	8.63E-3	51.3750	-2.20E-3	51.3750	8.63E-3	51.3750	-2.20E-3	
51.3800	8.63E-3	51.3800	-2.20E-3	51.3800	8.63E-3	51.3800	-2.20E-3	
51.3850	8.63E-3	51.3850	-2.20E-3	51.3850	8.63E-3	51.3850	-2.20E-3	
51.3900	8.64E-3	51.3900	-2.20E-3	51.3900	8.64E-3	51.3900	-2.20E-3	
51.3950	8.64E-3	51.3950	-2.19E-3	51.3950	8.64E-3	51.3950	-2.19E-3	
51.4000	8.64E-3	51.4000	-2.20E-3	51.4000	8.64E-3	51.4000	-2.20E-3	
51.4050	8.65E-3	51.4050	-2.19E-3	51.4050	8.65E-3	51.4050	-2.19E-3	
51.4100	8.65E-3	51.4100	-2.20E-3	51.4100	8.65E-3	51.4100	-2.20E-3	
51.4150	8.65E-3	51.4150	-2.19E-3	51.4150	8.65E-3	51.4150	-2.19E-3	
51.4200	8.65E-3	51.4200	-2.19E-3	51.4200	8.65E-3	51.4200	-2.19E-3	
51.4250	8.66E-3	51.4250	-2.19E-3	51.4250	8.66E-3	51.4250	-2.19E-3	
51.4300	8.66E-3	51.4300	-2.19E-3	51.4300	8.66E-3	51.4300	-2.19E-3	
51.4350	8.66E-3	51.4350	-2.19E-3	51.4350	8.66E-3	51.4350	-2.19E-3	
51.4400	8.67E-3	51.4400	-2.20E-3	51.4400	8.67E-3	51.4400	-2.20E-3	
51.4450	8.66E-3	51.4450	-2.20E-3	51.4450	8.66E-3	51.4450	-2.20E-3	
51.4500	8.66E-3	51.4500	-2.19E-3	51.4500	8.66E-3	51.4500	-2.19E-3	
51.4550	8.66E-3	51.4550	-2.19E-3	51.4550	8.66E-3	51.4550	-2.19E-3	
51.4600	8.67E-3	51.4600	-2.19E-3	51.4600	8.67E-3	51.4600	-2.19E-3	
51.4650	8.67E-3	51.4650	-2.19E-3	51.4650	8.67E-3	51.4650	-2.19E-3	
51.4700	8.67E-3	51.4700	-2.19E-3	51.4700	8.67E-3	51.4700	-2.19E-3	
51.4750	8.67E-3	51.4750	-2.19E-3	51.4750	8.67E-3	51.4750	-2.19E-3	
51.4800	8.68E-3	51.4800	-2.19E-3	51.4800	8.68E-3	51.4800	-2.19E-3	
51.4850	8.69E-3	51.4850	-2.19E-3	51.4850	8.69E-3	51.4850	-2.19E-3	
51.4900	8.69E-3	51.4900	-2.19E-3	51.4900	8.69E-3	51.4900	-2.19E-3	
51.4950	8.69E-3	51.4950	-2.19E-3	51.4950	8.69E-3	51.4950	-2.19E-3	
51.5000	8.68E-3	51.5000	-2.19E-3	51.5000	8.68E-3	51.5000	-2.19E-3	
51.5050	8.69E-3	51.5050	-2.19E-3	51.5050	8.69E-3	51.5050	-2.19E-3	
51.5100	8.69E-3	51.5100	-2.19E-3	51.5100	8.69E-3	51.5100	-2.19E-3	
51.5150	8.68E-3	51.5150	-2.19E-3	51.5150	8.68E-3	51.5150	-2.19E-3	
51.5200	8.69E-3	51.5200	-2.19E-3	51.5200	8.69E-3	51.5200	-2.19E-3	
51.5250	8.69E-3	51.5250	-2.19E-3	51.5250	8.69E-3	51.5250	-2.19E-3	
51.5300	8.69E-3	51.5300	-2.19E-3	51.5300	8.69E-3	51.5300	-2.19E-3	
51.5350	8.69E-3	51.5350	-2.19E-3	51.5350	8.69E-3	51.5350	-2.19E-3	
51.5400	8.69E-3	51.5400	-2.19E-3	51.5400	8.69E-3	51.5400	-2.19E-3	
51.5450	8.69E-3	51.5450	-2.19E-3	51.5450	8.69E-3	51.5450	-2.19E-3	
51.5500	8.69E-3	51.5500	-2.19E-3	51.5500	8.69E-3	51.5500	-2.19E-3	
51.5550	8.70E-3	51.5550	-2.19E-3	51.5550	8.70E-3	51.5550	-2.19E-3	
51.5600	8.71E-3	51.5600	-2.19E-3	51.5600	8.71E-3	51.5600	-2.19E-3	
51.5650	8.71E-3	51.5650	-2.19E-3	51.5650	8.71E-3	51.5650	-2.19E-3	
51.5700	8.70E-3	51.5700	-2.19E-3	51.5700	8.70E-3	51.5700	-2.19E-3	
51.5750	8.71E-3	51.5750	-2.19E-3	51.5750	8.71E-3	51.5750	-2.19E-3	
51.5800	8.70E-3	51.5800	-2.19E-3	51.5800	8.70E-3	51.5800	-2.19E-3	
51.5850	8.70E-3	51.5850	-2.19E-3	51.5850	8.70E-3	51.5850	-2.19E-3	
51.5900	8.70E-3	51.5900	-2.18E-3	51.5900	8.70E-3	51.5900	-2.18E-3	
51.5950	8.71E-3	51.5950	-2.18E-3	51.5950	8.71E-3	51.5950	-2.18E-3	
51.6000	8.71E-3	51.6000	-2.18E-3	51.6000	8.71E-3	51.6000	-2.18E-3	
51.6050	8.71E-3	51.6050	-2.19E-3	51.6050	8.71E-3	51.6050	-2.19E-3	
51.6100	8.71E-3	51.6100	-2.18E-3	51.6100	8.71E-3	51.6100	-2.18E-3	
51.6150	8.71E-3	51.6150	-2.19E-3	51.6150	8.71E-3	51.6150	-2.19E-3	
51.6200	8.71E-3	51.6200	-2.18E-3	51.6200	8.71E-3	51.6200	-2.18E-3	
51.6250	8.71E-3	51.6250	-2.19E-3	51.6250	8.71E-3	51.6250	-2.19E-3	
51.6300	8.71E-3	51.6300	-2.19E-3	51.6300	8.71E-3	51.6300	-2.19E-3	
51.6350	8.71E-3	51.6350	-2.18E-3	51.6350	8.71E-3	51.6350	-2.18E-3	
51.6400	8.71E-3	51.6400	-2.19E-3	51.6400	8.71E-3	51.6400	-2.19E-3	
51.6450	8.71E-3	51.6450	-2.18E-3	51.6450	8.71E-3	51.6450	-2.18E-3	
51.6500	8.72E-3	51.6500	-2.18E-3	51.6500	8.72E-3	51.6500	-2.18E-3	
51.6550	8.72E-3	51.6550	-2.19E-3	51.6550	8.72E-3	51.6550	-2.19E-3	
51.6600	8.72E-3	51.6600	-2.18E-3	51.6600	8.72E-3	51.6600	-2.18E-3	
51.6650	8.73E-3	51.6650	-2.18E-3	51.6650	8.73E-3	51.6650	-2.18E-3	
51.6700	8.74E-3	51.6700	-2.18E-3	51.6700	8.74E-3	51.6700	-2.18E-3	
51.6750	8.74E-3	51.6750	-2.18E-3	51.6750	8.74E-3	51.6750	-2.18E-3	
51.6800	8.74E-3	51.6800	-2.19E-3	51.6800	8.74E-3	51.6800	-2.19E-3	
51.6850	8.74E-3	51.6850	-2.18E-3	51.6850	8.74E-3	51.6850	-2.18E-3	
51.6900	8.75E-3	51.6900	-2.19E-3	51.6900	8.75E-3	51.6900	-2.19E-3	
51.6950	8.75E-3	51.6950	-2.18E-3	51.6950	8.75E-3	51.6950	-2.18E-3	
51.7000	8.75E-3	51.7000	-2.19E-3	51.7000	8.75E-3	51.7000	-2.19E-3	
51.7050	8.75E-3	51.7050	-2.18E-3	51.7050	8.75E-3	51.7050	-2.18E-3	
51.7100	8.75E-3	51.7100	-2.18E-3	51.7100	8.75E-3	51.7100	-2.18E-3	
51.7150	8.76E-3	51.7150	-2.18E-3	51.7150	8.76E-3	51.7150	-2.18E-3	
51.7200	8.76E-3	51.7200	-2.18E-3	51.7200	8.76E-3	51.7200	-2.18E-3	
51.7250	8.76E-3	51.7250	-2.18E-3	51.7250	8.76E-3	51.7250	-2.18E-3	
51.7300	8.75E-3	51.7300	-2.18E-3	51.7300	8.75E-3	51.7300	-2.18E-3	
51.7350	8.76E-3	51.7350	-2.18E-3	51.7350	8.76E-3	51.7350	-2.18E-3	
51.7400	8.77E-3	51.7400	-2.18E-3	51.7400	8.77E-3	51.7400	-2.18E-3	
51.7450	8.77E-3	51.7450	-2.18E-3	51.7450	8.77E-3	51.7450	-2.18E-3	
51.7500	8.78E-3	51.7500	-2.18E-3	51.7500	8.78E-3	51.7500	-2.18E-3	
51.7550	8.79E-3	51.7550	-2.18E-3	51.7550	8.79E-3	51.7550	-2.18E-3	
